RASGOS,COMENTARIOS
INESCRUPULOSO,"Soy capaz de simpatizar con cualquier cosa menos con el sufrimiento. Hasta eso no llego. Es demasiado feo, demasiado angustioso."
EXHIBICIONISMO,"soy apasionadamente curiosa, quiero probar todo lo que mas pueda, y el sexo no es la excepcion"
AUTORITARISMO,"son mis decisiones, y si no les gusta se pueden ir"
INESCRUPULOSO,"son demasiados, no se puede ayudar a todos, deberían deportarlos."
NINGUNO,"Somos nosotros los que elegimos procrear por lo que, se convierte en nuestra obligacion el hacernos responsables de nuestras acciones... Esto incluye la paternidad .."
PRETENSION,Solo porque no me importe no significa que no te haya entendido.
NINGUNO,"Solo nos queda Amar y aceptar a nuestros hijos como son, pero si esta en nuestras posibilidades ayudarlo en lo que se pueda, se lo hace"
PRETENSION,"solo los que tenemos amigos con derechos, entendemos"
INESCRUPULOSO,solo lo ignoraria
INESCRUPULOSO,Solo hay dos opciones en base a la pregunta: adopcion  o muerte. Si va a morir porque no tengo los medios para solventar sus gastos medicos. Preferiria que viva asi sea con alguien mas.
AUTOSUFICIENCIA,"solo es un pensamiento, una forma de decirlo, pero las mujeres son libres de hacer lo que quieran con su cuerpo y con su vida"
INESCRUPULOSO,Solo diria KARMA!!!!!!  Y luego ignoro el tema :  
NINGUNO,Solo Dios es quien da o quita la vida lo recibiria con mucho amor y lo cuidaria es una Bendicion de Dios
NINGUNO,solamente observaria como el karma o dios o la vida misma castiga gente que hace mal a otras personas. Ni pena tendria por esa persona
INESCRUPULOSO,"Sinceramente prefiero cambiar e ignorar el tema. Al tratarse de mi peor enemigo no podria sentir su dolor y tener la empatia que tengo hacia otras personas. Si esta dentro de mis posibilidades, quiza lo ayudaria."
INESCRUPULOSO,"Sinceramente no, porque siempre se formara una nueva familia y al tener hijos con otra persona siempre habra problemas de que se descuida por el uno y hasta llegan al punto de denunciar."
INESCRUPULOSO,Sinceramente es una dificil  pregunta para los que no les  deseamos  el mal  ni al peor  enemigo. Pero  prefiero  ignorar el tema  el muy delicado para mi
EXHIBICIONISMO,"sin vergüenza, que la vida es una sola"
INESCRUPULOSO,"Sin lugar a dudas la religion no salva a las personas de sus errores, de sus fallas, es de ingenuos creerlo, sin embargo siempre e creido que la religion es una necesidad para algunos humanos, les brinda, paz, tranquilidad, sentido a su existencia."
AUTOSUFICIENCIA,sin lugar a duda cualquiera puede cumplir un deseo si se lo propone .. tambien hay que ser conscientes de dar la vida y una familia a una criatura inocente
VANIDAD,"sin duda, la piel es nuestra mejor carta de presentación, es muy importante cuidarnos y amarnos mucho"
INESCRUPULOSO,sin desquite no hay vengaza :o
NINGUNO,"sin amor que ofrecer , sin familia y solo por cumplir un deseo .. no creo que eso estee bien a los ojos de muchas personas "
PRETENSION,"Sin amor propio no somos nadie, porque el amor propio es quien nos hace unicos, sin ello solo seriamos copias de estereotipos de personas que dicen ser ""lo perfecto"", eso no es vivir, que mejor que ser feliz con tus defectos que te hacen especial."
NINGUNO,Simplemente sigues con tu vida. Sales de ahi y avanzas 
INESCRUPULOSO,"simplemente no me importaria lo que le sucediese, ignoraria totalmente la existencia del mismo."
SUPERIORIDAD,"Siento haberte ofendido cuando te llame estupido, realmente creia que tu ya lo sabias. "
INESCRUPULOSO,"siendo consciente de toda esa responsabilidad, y aunque me doleria, preferiria que no naciera"
PRETENSION,"Siempre se debe sentir amor hacia nosotros mismos, es lo primordial en todo lo que hagamos, eso tambien implica llevar una buena imagen, la gente puede hablar, pero mientras estemos seguros de nosotros mismos no hay quien nos detenga."
AUTOSUFICIENCIA,"siempre que la mujer este preparada en todos los sentidos y sea consciente de esa enorme responsabilidad, pienso que no habria problema"
NINGUNO,"Siempre me han enseñado que el dinero no es mas importante que la persona a la que amas, por ello, preferiria no cobrar aquella herencia y pasar mas tiempo con mi madre, aceptar aquello acertarian en el: ""Cria cuervo y te sacaran los ojos"""
NINGUNO,Siempre hay una historia en la cual perderse un rato.
INESCRUPULOSO,"siempre hay que perdonar a nuestros enemigos, nada los hace enojar mas que eso!!!"
AUTOSUFICIENCIA,siempre hay que llevarle la contraria al mundo
PRETENSION,"Siempre es importante mantener la esencia de uno mismo, pero tambien es bueno tener una buena imagen, porque ayuda a que la gente sienta mas empatia contigo. Tampoco olvidemos que la actitud y amor propio hacen mucho mas que un atuendo."
INESCRUPULOSO,"siempre es así, el que ríe ultimo rie mejor, siempre!!"
AUTORITARISMO,"Si. ya que aunque no se regularice seguira existiendo ,entonces seria mejor darle una formalizacion"
AUTORITARISMO,"Si, ya que se han visto muchas irregularidades en ese campo, tanto mujeres que son obligadas a realizarlos y lugares que son inapropiados para desarrollar dicha actividad"
NINGUNO,"Si, tener una relacion con una persona que tenga hijos no quiere decir que voy a portarme indiferente ni nada, eso no tiene nada que ver."
PRETENSION,"Si, hoy en dia la imagen es lo primero que vemos, pero debemos ir mas alla y conocer realmente a las personas. El fisico no lo es todo."
PRETENSION,"Si, es muy importante, nos ayuda a dar una buena presentacion a cualquier lugar donde vayamos."
AUTORITARISMO,"si, en el mundo de la prostitucion muchas veces se encuentran personas obligadas , y esta mal explotar a personas que no quieren ya que no es respetar su dignidad, aun asi existen personas que lo ejercen por voluntad propia y estan en su derecho."
NINGUNO,"Si, El dinero nos proporciona cosas materiales (propiedades, vehiculos, joyas, etc) pero no podemos dejar que nuestra felicidad dependa de lo material porque cuando no tengamos esos ""lujos"" seremos infelices. "
SUPERIORIDAD,"si, claro con lo brillante que eres, si no sirves para nada"
AUTORITARISMO,"si yo me voy, nos vamos todos"
AUTOSUFICIENCIA,"si yo invito, yo pago"
INESCRUPULOSO,"Si yo dije algo, fue porque tu me provocaste.."
INESCRUPULOSO,"si ya son varias veces, la verdad se los devolveria jajaja"
AUTORITARISMO,"Si ya se estan regulando otros asuntos, el impacto de regular la prostitucion, aunque conlleve esclavitud de las victimas, incluso podria tener efectos contrarios al pensamiento comun, por ende, si la impondria."
NINGUNO,si ya que si un hombre o una mujer dice amar a una persona no le importara su pasado y sabra apreciar y querer a la persona y a los que hijos que esta pueda tener
PRETENSION,"Si vas a ser de dos caras, al menos, haz que una de ellas sea hermosa"
INESCRUPULOSO,si va a tener una vida limitada es mejor que no naciera
VANIDAD,si uno es guapo por dentro naturalmente se refleja y embellece el exterior
AUTOSUFICIENCIA,"Si una mujer puede y tiene como mantener un hijo sola sin la figura de un hombre a su lado, esta bien, es su decision y su responsabilidad"
AUTOSUFICIENCIA,"Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto conlleva, el niño/a puede ser criado con buenos valores y ser una persona de bien, incluso sin la figura paterna. Hay que tener en cuenta que el nucleo familiar en estos tiempos es diverso."
INESCRUPULOSO,"Si un hombre sonríe todo el tiempo, probablemente esté vendiendo algo que no funciona."
AUTORITARISMO,"si tu madre quiere visitarte, que ella venga a la casa, tu no sales a ningun lado, oiste."
INESCRUPULOSO,si todos estamos lindos jajajaja intentaria convencerla jajajaja
VANIDAD,"si tengo el dinero suficiente, y realmente me exigen en mi trabajo una mejor imagen, si pensaria en hacerlo"
NINGUNO,si tendria una relacion pero con una persona con una madurez mental y siempre y cuando no afecte negativamente la relacion con sus hijos
NINGUNO,Si tendria una relacion con alguien que tenga hijos siempre y cuando esta persona cumpla con sus responsabilidades y les brinde un buen ambiente ademas de llevarse bien con la mama de los hijos.
NINGUNO,Si tendra una relacion con alguien con hijos
INESCRUPULOSO,"si te resiste tu alma se enferma, es mejor ceder a la tentación"
INESCRUPULOSO,"Si te hizo feliz, no cuenta como error"
NINGUNO,"si su problema es muy grande y realmente puedo ayudarla, creo que si lo haria"
NINGUNO,"Si somos razonables, pues no perdonas ya que esa personas te esta fallando a ti como pareja, pero el devolver el cuerno es auto fallarse asi mismo y no tiene sentido."
NINGUNO,Si seria capaz porque los niños no son culpables de nada. 
NINGUNO,"Si sentiria propio ya que uno no desea el mal a nadie porque si le deseas el mal, para uno vendra el doble"
AUTOSUFICIENCIA,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia hacia el bebe"
AUTOSUFICIENCIA,"Si se capaz economicamente y emocionalmente, entonces, esta en todo su derecho de experimentar la dicha de ser madre. "
AUTORITARISMO,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia con ese nuevo ser."
INESCRUPULOSO,"si se los pondria, y dejaria que se enterara jajajajaja ;)"
INESCRUPULOSO,"Si se gano la reputacion de ser ""MI PEOR ENEMIGO"" mucho daño nos hicimos mutuamente asi que me pareceria hipocrita sentir el dolor como mio. Y como la pregunta es ignorar mas no sentirse feliz por el dolor ajeno, entonces mi respuesta es: SI, YO IGNORARIA"
INESCRUPULOSO,"si se detecta en la gestacion y no hay forma de corregirlo, la verdad prefiero que no nazca"
INESCRUPULOSO,"Si se detecta antes de nacer consideraria que sea abortado, por que viene a sufrir y tendria situaciones dificiles y una mala calidad de vida, si es cuando ya nacio lo cuidaria y apoyaria en todo lo que pueda."
AUTORITARISMO,Si se deberia imponer la regularizacion de la prostitucion ya que con esto se abriria mas fuentes de trabajo para personas que realmente no tienen de otra manera por donde generar ingresos.
INESCRUPULOSO,"Si se da el caso y estoy en la posibilidad de abortar, lo haria, pero si no es asi, trataria de que siempre tenga presente la realidad del mundo y que el apoyo y amor de una madre o de la familia siempre sera incondicional para el."
NINGUNO,si se consideran un equipo. seria ambos.
AUTORITARISMO,"Si se calla el cantor, calla la vida"
AUTORITARISMO,"si realmente me amas, pues tendras que aguantarme"
AUTORITARISMO,si quieren y tienen la posibilidad financiera de mantenerlo tienen todo el derecho del mundo para hacerlo
AUTORITARISMO,"si quieren verte que ella venga a la casa, tu no sales de aqui."
PRETENSION,"Si puedes hacerme reir, puedes hacer que haga cualquier cosa para ti"
AUTOSUFICIENCIA,si pueden y quieren tienen derecho a cumplir su sueño de ser madres de cualquier forma
VANIDAD,"Si pudiera, gastaría mi sueldo completo en esa tienda de ropa."
NINGUNO,Si porque que tenga hijos no significa que lo hacen menos persona y no pueda querer a otra 
NINGUNO,SI PORQUE ES ALGO TRISTE QUE EL NIÑO SE QUEDE SIN NADIE EN ESTA VIDA
NINGUNO,Si porque el niño no tiene la culpa de las decisiones o cosas que han hecho los adultos...
INESCRUPULOSO,Si porque a veces para lograr lo que queremos nuestro instinto de sobresalir nos lleva aceptar propuestas indecentes
AUTORITARISMO,"si no vamos al partido de futbol, no vamos a ningun lado"
SUPERIORIDAD,"Si no valoras tu tiempo, tampoco lo haran los demas. Deja de regalar tu tiempo y tus talentos. Valore lo que sabe y empiece a cobrar por ello"
INESCRUPULOSO,si no tuviera los recursos suficientes lo daria en adopcion para que alguien pueda darle la vida que merece y que yo no podria ofrecerle
INESCRUPULOSO,"si no tengo los recursos necesarios para cuidarlo, lo daria en adopcion"
INESCRUPULOSO,si no tengo hijos porque tendria que salir con alguien que si los tiene?? No seria equitativo :(
AUTORITARISMO,"si no te interesa, entonces lárgate"
SUPERIORIDAD,"Si no te gusta como soy, cambia tu"
AUTORITARISMO,"si no respetas, si ladras en vez de hablar, no pretendas que te respeten"
INESCRUPULOSO,"si no me hablas ni me escribes, yo menos, no me interesa tu atencion"
INESCRUPULOSO,si no me demuestran que me necesitan porque tendria que hacerlo yo
AUTORITARISMO,"Si no haces esto, te voy a castigar"
AUTORITARISMO,"Si no haces esto, te castigaré."
NINGUNO,"Si no fuese por la familia no se lograria conseguir exito en la vida. Pues la familia es la que enseña los valores, ellos te enseñan el camino correcto, son parte de ti. Asi que, no haria nada que los afecte y peor si es de forma negativa."
AUTORITARISMO,"Si no fuera por mí, todo esto no tiraría adelante….."
SUPERIORIDAD,"Si no fuera por mí, nada de esto sería posible"
SUPERIORIDAD,"Si no esta dispuesto a arriesgar lo habitual, tendra que conformarse con lo ordinario"
INESCRUPULOSO,"si no es una relacion seria, me da lo mismo"
EXHIBICIONISMO,"si no es tu cuerpo el que se exhibe, mejor no opines"
SUPERIORIDAD,"si no eres musica, no tengo porque escucharte"
AUTORITARISMO,"si no apoyas mi idea, el desempleo te espera"
EXHIBICIONISMO,"si nadie esta obligado, y todos aceptamos el trato, creo que si lo haria xxx jijii… "
VANIDAD,"si mi trabajo lo exige, y hay que hacerlo, aceptaria someterme a una cirugia, pero lo pagaria con mi dinero"
PRETENSION,"si mi trabajo amerita una buena imagen, estaria de acuerdo en hacerme una cirugia siempre que no implique mayores riesgos"
AUTOSUFICIENCIA,"si mi pareja no tiene dinero o esta en un mal momento economico, yo como mujer tambien podria asumir ese gasto"
INESCRUPULOSO,"si mi padre o madre, realmente ya esta muerto en vida y no hay mas remedio, preferiria una muerte digna, pero no lo haria por el dinero, sino para que dejara de sufrir"
INESCRUPULOSO,"si mi padre indica expresamente que en una situacion asi desea que le apliquen eutanacia, quiza lo haria, si no, no"
INESCRUPULOSO,"si mi padre esta sufriendo, y su enfermedad es irreversible, prefiero que este con dios, seria una dura decision pero intentaria que no sufra, quiza si lo haria"
INESCRUPULOSO,"si mi enemigo me pide ayuda, no se la daría, aunque este en mis manos solucionar su problema."
VANIDAD,"si mi belleza te ofende, te ofrezco mis disculpas!!"
EXHIBICIONISMO,"si mi amiga no tiene problema en hacerlo, ademas se podria negociar algo mas… no veo mayor problema"
VANIDAD,Si mejor es ser un triste millonario 
EXHIBICIONISMO,"si me provocan, pues ni modo, yo respondo, y veras que te va a gustar"
INESCRUPULOSO,"si me lo ponen asi de facil, pueda que si…… jajajajaja"
VANIDAD,"si me haria una cirugia pero no usaria el dinero de mi herencia, lo haria con mi propio trabajo"
VANIDAD,si me gusta llamar la atencion.
AUTORITARISMO,"Si me encuentras ofensivo, entonces te sugiero que dejes de buscarme."
SUPERIORIDAD,"si me callo, es porque no me gusta discutir con idiotas"
INESCRUPULOSO,"Si me advierten en el embarazo que nacera asi y tengo la opcion de abortarlo, lo haria, se que muchos me juzgarian pero no estaria dispuesta a que mi hijo sufriera en un mundo donde la violencia, la discriminacion, burlas y rechazos gobiernan la humanidad."
